  47950 1001      20   0 2855544 324492  46984 S  56.2   2.0   1:43.86 application
  47950 1001      20   0 2856568 325016  46984 S 137.0   2.0   1:45.23 application
  47950 1001      20   0 2856568 325280  46984 S 174.0   2.0   1:46.97 application
  47950 1001      20   0 2856568 325280  46984 S 171.0   2.0   1:48.68 application
  47950 1001      20   0 2856568 325716  46984 S 173.0   2.0   1:50.41 application
  47950 1001      20   0 2856568 325980  46984 S 176.0   2.0   1:52.17 application
  47950 1001      20   0 2856568 325980  46984 S 173.0   2.0   1:53.90 application
  47950 1001      20   0 2856568 325980  46984 S 174.0   2.0   1:55.64 application
  47950 1001      20   0 2856568 326244  46984 S 174.0   2.0   1:57.38 application
  47950 1001      20   0 2856568 326244  46984 S 172.3   2.0   1:59.12 application
  47950 1001      20   0 2857592 326244  46984 S 174.0   2.0   2:00.86 application
  47950 1001      20   0 2857592 326244  46984 S 172.0   2.0   2:02.58 application
  47950 1001      20   0 2857592 326244  46984 S 175.0   2.0   2:04.33 application
  47950 1001      20   0 2857592 326504  46984 S 174.0   2.0   2:06.07 application
  47950 1001      20   0 2857592 326504  46984 S 174.0   2.0   2:07.81 application
  47950 1001      20   0 2857592 326504  46984 S 173.0   2.0   2:09.54 application
  47950 1001      20   0 2857592 326504  46984 S 175.0   2.0   2:11.29 application
  47950 1001      20   0 2857592 326504  46984 S 173.0   2.0   2:13.02 application
  47950 1001      20   0 2857592 326504  46984 S 173.3   2.0   2:14.77 application
  47950 1001      20   0 2857592 326504  46984 S 176.0   2.0   2:16.53 application
  47950 1001      20   0 2858616 326764  46984 S 173.0   2.0   2:18.26 application
  47950 1001      20   0 2858616 327024  46984 S 173.0   2.0   2:19.99 application
  47950 1001      20   0 2858616 327288  46984 S 174.0   2.0   2:21.73 application
  47950 1001      20   0 2858616 327288  46984 S 174.0   2.0   2:23.47 application
  47950 1001      20   0 2858616 327552  46984 S 175.0   2.0   2:25.22 application
  47950 1001      20   0 2858616 327552  46984 S 175.0   2.0   2:26.97 application
  47950 1001      20   0 2858616 327552  46984 S 174.0   2.0   2:28.71 application
  47950 1001      20   0 2858616 327816  46984 S 175.0   2.0   2:30.46 application
  47950 1001      20   0 2858616 327816  46984 S 171.3   2.0   2:32.19 application
  47950 1001      20   0 2858616 327816  46984 S 174.0   2.0   2:33.93 application
  47950 1001      20   0 2858616 327816  46984 S 174.0   2.0   2:35.67 application
  47950 1001      20   0 2858616 328080  46984 S 172.0   2.0   2:37.39 application
  47950 1001      20   0 2858616 328080  46984 S 178.0   2.0   2:39.17 application
  47950 1001      20   0 2858616 328080  46984 S 175.0   2.0   2:40.92 application
  47950 1001      20   0 2859640 328344  46984 S 172.0   2.0   2:42.64 application
  47950 1001      20   0 2859640 328344  46984 S 176.0   2.0   2:44.40 application
  47950 1001      20   0 2859640 328608  46984 S 174.0   2.0   2:46.14 application
  47950 1001      20   0 2859640 328608  46984 S 175.0   2.0   2:47.89 application
  47950 1001      20   0 2859640 328608  46984 S 172.3   2.0   2:49.63 application
  47950 1001      20   0 2859640 328608  46984 S 175.0   2.0   2:51.38 application
  47950 1001      20   0 2859640 328872  46984 S 173.0   2.0   2:53.11 application
  47950 1001      20   0 2859640 328872  46984 S 171.0   2.0   2:54.82 application
  47950 1001      20   0 2859640 328872  46984 S 172.0   2.0   2:56.54 application
  47950 1001      20   0 2859640 328872  46984 S 175.0   2.0   2:58.29 application
  47950 1001      20   0 2859640 328872  46984 S 173.0   2.0   3:00.02 application
  47950 1001      20   0 3007104 328872  46984 S 176.0   2.0   3:01.78 application
  47950 1001      20   0 3008128 329664  46984 S 174.0   2.0   3:03.52 application
  47950 1001      20   0 3008128 329924  46984 S 172.3   2.0   3:05.26 application
  47950 1001      20   0 3008128 329924  46984 S 177.0   2.0   3:07.03 application
  47950 1001      20   0 3008
