   6798 root      20   0   13.6g 591748  29028 S 133.3   3.6   4:07.73 java
   6798 root      20   0   13.6g 591840  29028 S 182.0   3.6   4:09.55 java
   6798 root      20   0   13.6g 591840  29028 S 181.0   3.6   4:11.36 java
   6798 root      20   0   13.6g 591840  29028 S 182.0   3.6   4:13.18 java
   6798 root      20   0   13.6g 591840  29028 S 181.0   3.6   4:14.99 java
   6798 root      20   0   13.6g 591840  29028 S 180.0   3.6   4:16.79 java
   6798 root      20   0   13.6g 591840  29028 S 180.0   3.6   4:18.59 java
   6798 root      20   0   13.6g 591840  29028 S 178.2   3.6   4:20.39 java
   6798 root      20   0   13.6g 591840  29028 S 181.0   3.6   4:22.20 java
   6798 root      20   0   13.6g 591840  29028 S 180.0   3.6   4:24.00 java
   6798 root      20   0   13.6g 591840  29028 S 183.0   3.6   4:25.83 java
   6798 root      20   0   13.6g 591840  29028 S 183.0   3.6   4:27.66 java
   6798 root      20   0   13.6g 591840  29028 S 183.0   3.6   4:29.49 java
   6798 root      20   0   13.6g 591840  29028 S 182.0   3.6   4:31.31 java
   6798 root      20   0   13.6g 591984  29028 S 183.0   3.6   4:33.14 java
   6798 root      20   0   13.6g 592368  29028 S 182.0   3.6   4:34.96 java
   6798 root      20   0   13.6g 592368  29028 S 183.0   3.6   4:36.79 java
   6798 root      20   0   13.6g 592368  29028 S 179.2   3.6   4:38.60 java
   6798 root      20   0   13.6g 592368  29028 S 183.0   3.6   4:40.43 java
   6798 root      20   0   13.6g 592368  29028 S 181.0   3.6   4:42.24 java
   6798 root      20   0   13.6g 592368  29028 S 179.0   3.6   4:44.03 java
   6798 root      20   0   13.6g 592368  29028 S 182.0   3.6   4:45.85 java
   6798 root      20   0   13.6g 592368  29028 S 184.0   3.6   4:47.69 java
   6798 root      20   0   13.6g 592496  29028 S 183.0   3.6   4:49.52 java
   6798 root      20   0   13.6g 592496  29028 S 180.0   3.6   4:51.32 java
   6798 root      20   0   13.6g 592496  29028 S 182.0   3.6   4:53.14 java
   6798 root      20   0   13.6g 592496  29028 S 182.0   3.6   4:54.96 java
   6798 root      20   0   13.6g 592496  29028 S 180.2   3.6   4:56.78 java
   6798 root      20   0   13.6g 592496  29028 S 180.0   3.6   4:58.58 java
   6798 root      20   0   13.6g 592496  29028 S 182.0   3.6   5:00.40 java
   6798 root      20   0   13.6g 592624  29028 S 181.0   3.6   5:02.21 java
   6798 root      20   0   13.6g 592624  29028 S 182.0   3.6   5:04.03 java
   6798 root      20   0   13.6g 592624  29028 S 182.0   3.6   5:05.85 java
   6798 root      20   0   13.6g 592624  29028 S 181.0   3.6   5:07.66 java
   6798 root      20   0   13.6g 592772  29028 S 184.0   3.6   5:09.50 java
   6798 root      20   0   13.6g 592772  29028 S 182.0   3.6   5:11.32 java
   6798 root      20   0   13.6g 592772  29028 S 183.0   3.6   5:13.15 java
   6798 root      20   0   13.6g 592772  29028 S 184.0   3.6   5:14.99 java
   6798 root      20   0   13.6g 592772  29028 S 182.2   3.6   5:16.83 java
   6798 root      20   0   13.6g 592772  29028 S 184.0   3.6   5:18.67 java
   6798 root      20   0   13.6g 593132  29028 S 183.0   3.6   5:20.50 java
   6798 root      20   0   13.6g 593360  29028 S 182.0   3.6   5:22.32 java
   6798 root      20   0   13.6g 593360  29028 S 181.0   3.6   5:24.13 java
   6798 root      20   0   13.6g 593360  29028 S 184.0   3.6   5:25.97 java
   6798 root      20   0   13.6g 593360  29028 S 182.0   3.6   5:27.79 java
   6798 root      20   0   13.6g 593360  29028 S 181.0   3.6   5:29.60 java
   6798 root      20   0   13.6g 593360  29028 S 179.0   3.6   5:31.39 java
   6798 root      20   0   13.6g 593516  29028 S 181.0   3.6   5:33.20 java
   6798 root      20   0   13.6g 593516  29028 S 180.2   3.6   5:35.02 java
   6798 root      20   0   13.6g 593692  29028 S 185.0   3.6   5:36.87 java
   6798 root      20   0   13.6g 593692  29028 S 180.0   3.6   5:38.67 java
   6798 root      20   0   13.6g 593692  29028 S 182.0   3.6   5:40.49 java
   6798 root      20   0   13.6g 593692  29028 S 180.0   3.6   5:42.29 java
   6798 root      20   0   13.6g 593692  29028 S 182.0   3.6   5:44.
