  22914 1001      20   0 8899500 574932  52436 S 193.3   3.5  30:09.31 application
  22914 1001      20   0 8900524 575724  52436 S 403.0   3.5  30:13.34 application
  22914 1001      20   0 8901548 575984  52436 S 400.0   3.5  30:17.34 application
  22914 1001      20   0 8902572 576776  52436 S 397.0   3.5  30:21.35 application
  22914 1001      20   0 8902572 577304  52436 S 401.0   3.5  30:25.36 application
  22914 1001      20   0 8903596 578096  52436 S 401.0   3.5  30:29.37 application
  22914 1001      20   0 8903596 578624  52436 S 402.0   3.5  30:33.39 application
  22914 1001      20   0 8903596 577284  52436 S 400.0   3.5  30:37.39 application
  22914 1001      20   0 8903596 577168  52436 S 402.0   3.5  30:41.41 application
  22914 1001      20   0 8902572 578016  53524 S 400.0   3.5  30:45.41 application
  22914 1001      20   0 8902572 578544  53524 S 401.0   3.5  30:49.42 application
  22914 1001      20   0 8902572 578808  53524 S 401.0   3.5  30:53.43 application
  22914 1001      20   0 8894376 578980  53524 S 397.0   3.6  30:57.44 application
  22914 1001      20   0 8894376 578980  53524 S 401.0   3.6  31:01.45 application
  22914 1001      20   0 8894376 578980  53524 S 402.0   3.6  31:05.47 application
  22914 1001      20   0 8894376 578980  53524 S 402.0   3.6  31:09.49 application
  22914 1001      20   0 8894376 578980  53524 S 398.0   3.6  31:13.47 application
  22914 1001      20   0 8894376 578980  53524 S 399.0   3.6  31:17.46 application
  22914 1001      20   0 8894376 578980  53524 S 404.0   3.6  31:21.50 application
  22914 1001      20   0 8894376 578980  53524 S 401.0   3.6  31:25.51 application
  22914 1001      20   0 8869788 579328  53524 S 403.0   3.6  31:29.54 application
  22914 1001      20   0 8869788 579328  53524 S 400.0   3.6  31:33.54 application
  22914 1001      20   0 8869788 579328  53524 S 401.0   3.6  31:37.55 application
  22914 1001      20   0 8861592 579636  53524 S 400.0   3.6  31:41.59 application
  22914 1001      20   0 8853396 579864  53524 S 399.0   3.6  31:45.58 application
  22914 1001      20   0 8853396 579864  53524 S 401.0   3.6  31:49.59 application
  22914 1001      20   0 8853396 579864  53524 S 397.0   3.6  31:53.56 application
  22914 1001      20   0 8853396 579864  53524 S 405.0   3.6  31:57.61 application
  22914 1001      20   0 8853396 579864  53524 S 400.0   3.6  32:01.61 application
  22914 1001      20   0 8853396 579864  53524 S 400.0   3.6  32:05.61 application
  22914 1001      20   0 8853396 579864  53524 S 399.0   3.6  32:09.60 application
  22914 1001      20   0 8853396 579864  53524 S 402.0   3.6  32:13.62 application
  22914 1001      20   0 8853396 579864  53524 S 403.0   3.6  32:17.65 application
  22914 1001      20   0 8853396 579864  53524 S 398.0   3.6  32:21.67 application
  22914 1001      20   0 8853396 579864  53524 S 399.0   3.6  32:25.66 application
  22914 1001      20   0 8853396 579864  53524 S 402.0   3.6  32:29.68 application
  22914 1001      20   0 8853396 579864  53524 S 401.0   3.6  32:33.69 application
  22914 1001      20   0 8853396 579864  53524 S 398.0   3.6  32:37.67 application
  22914 1001      20   0 8853396 579864  53524 S 405.0   3.6  32:41.72 application
  22914 1001      20   0 8853396 579864  53524 S 399.0   3.6  32:45.71 application
  22914 1001      20   0 8828808 580432  53524 S 398.0   3.6  32:49.69 application
  22914 1001      20   0 8828808 580432  53524 S 404.0   3.6  32:53.73 application
  22914 1001      20   0 8828808 580432  53524 S 396.0   3.6  32:57.73 application
  22914 1001      20   0 8828808 580432  53524 S 399.0   3.6  33:01.72 application
  22914 1001      20   0 8828808 580432  53524 S 398.0   3.6  33:05.70 application
  22914 1001      20   0 8927160 580432  53524 S 403.0   3.6  33:09.73 application
  22914 1001      20   0 8927160 580432  53524 S 399.0   3.6  33:13.72 application
  22914 1001      20   0 8927160 580432  53524 S 401.0   3.6  33:17.73 application
  22914 1001      20   0 8927160 580432  53524 S 400.0   3.6  33:21.73 application
  22914 1001      20   0 8927
