  22914 1001      20   0 1960540  74728  50720 S  86.7   0.5   0:00.20 application
  22914 1001      20   0 2935432 231500  50720 S 190.0   1.4   0:02.10 application
  22914 1001      20   0 4696800 314036  51472 S 176.2   1.9   0:03.88 application
  22914 1001      20   0 4704992 329780  51664 S 176.0   2.0   0:05.64 application
  22914 1001      20   0 4704992 332412  51664 S 173.0   2.0   0:07.37 application
  22914 1001      20   0 4704992 333464  51664 S 174.0   2.0   0:09.11 application
  22914 1001      20   0 4704992 333988  51664 S 173.0   2.0   0:10.84 application
  22914 1001      20   0 4704992 333988  51664 S 173.0   2.0   0:12.57 application
  22914 1001      20   0 4704992 334312  51728 S 172.0   2.0   0:14.29 application
  22914 1001      20   0 4704992 334312  51728 S 173.0   2.0   0:16.02 application
  22914 1001      20   0 4706016 334576  51728 S 174.0   2.1   0:17.76 application
  22914 1001      20   0 4706016 334900  51792 S 173.0   2.1   0:19.49 application
  22914 1001      20   0 4706016 334900  51792 S 169.3   2.1   0:21.20 application
  22914 1001      20   0 4706016 335164  51792 S 173.0   2.1   0:22.93 application
  22914 1001      20   0 4706016 335164  51792 S 172.0   2.1   0:24.65 application
  22914 1001      20   0 4706016 335164  51792 S 174.0   2.1   0:26.39 application
  22914 1001      20   0 4706016 335164  51792 S 174.0   2.1   0:28.13 application
  22914 1001      20   0 4706016 335164  51792 S 172.0   2.1   0:29.85 application
  22914 1001      20   0 4706016 335164  51792 S 173.0   2.1   0:31.58 application
  22914 1001      20   0 4706016 335164  51792 S 175.0   2.1   0:33.33 application
  22914 1001      20   0 4706016 335164  51792 S 173.0   2.1   0:35.06 application
  22914 1001      20   0 4706016 335428  51792 S 172.3   2.1   0:36.80 application
  22914 1001      20   0 4706016 335428  51792 S 172.0   2.1   0:38.52 application
  22914 1001      20   0 4707040 335428  51792 S 174.0   2.1   0:40.26 application
  22914 1001      20   0 4707040 335688  51792 S 174.0   2.1   0:42.00 application
  22914 1001      20   0 4707040 335688  51792 S 172.0   2.1   0:43.72 application
  22914 1001      20   0 4707040 335688  51792 S 174.0   2.1   0:45.46 application
  22914 1001      20   0 4707040 335688  51792 S 173.0   2.1   0:47.19 application
  22914 1001      20   0 4707040 335688  51792 S 174.0   2.1   0:48.93 application
  22914 1001      20   0 4707040 335948  51792 S 172.0   2.1   0:50.65 application
  22914 1001      20   0 4707040 335948  51792 S 173.0   2.1   0:52.38 application
  22914 1001      20   0 4707040 336212  51792 S 173.0   2.1   0:54.11 application
  22914 1001      20   0 4690648 337108  51792 S 170.3   2.1   0:55.83 application
  22914 1001      20   0 4567708 338280  51792 S 172.0   2.1   0:57.55 application
  22914 1001      20   0 4559512 338392  51792 S 173.0   2.1   0:59.28 application
  22914 1001      20   0 4559512 338392  51792 S 173.0   2.1   1:01.01 application
  22914 1001      20   0 4560536 338392  51792 S 174.0   2.1   1:02.75 application
  22914 1001      20   0 4560536 338656  51792 S 172.0   2.1   1:04.47 application
  22914 1001      20   0 4560536 338656  51792 S 175.0   2.1   1:06.22 application
  22914 1001      20   0 4560536 339184  51792 S 175.0   2.1   1:07.97 application
  22914 1001      20   0 4560536 339508  51856 S 173.0   2.1   1:09.70 application
  22914 1001      20   0 4560536 339508  51856 S 172.0   2.1   1:11.42 application
  22914 1001      20   0 4560536 339508  51856 S 172.3   2.1   1:13.16 application
  22914 1001      20   0 4560536 339508  51856 S 173.0   2.1   1:14.89 application
  22914 1001      20   0 4561560 339772  51856 S 174.0   2.1   1:16.63 application
  22914 1001      20   0 4561560 339772  51856 S 173.0   2.1   1:18.36 application
  22914 1001      20   0 4561560 339772  51856 S 173.0   2.1   1:20.09 application
  22914 1001      20   0 4561560 340036  51856 S 174.0   2.1   1:21.83 application
  22914 1001      20   0 4561560 340036  51856 S 173.0   2.1   1:23.56 application
  22914 1001      20   0 4561
