   6970 root      20   0 9218556 387108  29116 S 266.7   2.4   0:42.03 java
   6970 root      20   0 9218556 387516  29116 S 102.0   2.4   0:43.05 java
   6970 root      20   0 9218556 387540  29116 S  40.0   2.4   0:43.45 java
   6970 root      20   0 9218556 387620  29116 S  37.6   2.4   0:43.83 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:44.22 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:44.61 java
   6970 root      20   0 9218556 387620  29116 S  38.0   2.4   0:44.99 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:45.38 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:45.77 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:46.16 java
   6970 root      20   0 9218556 387620  29116 S  38.6   2.4   0:46.55 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:46.94 java
   6970 root      20   0 9218556 387620  29116 S  38.0   2.4   0:47.32 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:47.71 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:48.10 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:48.49 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:48.88 java
   6970 root      20   0 9218556 387620  29116 S  38.0   2.4   0:49.26 java
   6970 root      20   0 9218556 387620  29116 S  39.6   2.4   0:49.66 java
   6970 root      20   0 9218556 387620  29116 S  38.0   2.4   0:50.04 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:50.43 java
   6970 root      20   0 9218556 387620  29116 S  37.0   2.4   0:50.80 java
   6970 root      20   0 9218556 387620  29116 S  38.0   2.4   0:51.18 java
   6970 root      20   0 9218556 387620  29116 S  37.0   2.4   0:51.55 java
   6970 root      20   0 9218556 387620  29116 S  38.0   2.4   0:51.93 java
   6970 root      20   0 9218556 387620  29116 S  38.0   2.4   0:52.31 java
   6970 root      20   0 9218556 387620  29116 S  39.6   2.4   0:52.71 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:53.10 java
   6970 root      20   0 9218556 387620  29116 S  36.0   2.4   0:53.46 java
   6970 root      20   0 9218556 387620  29116 S  39.0   2.4   0:53.85 java
   6970 root      20   0 9218556 387620  29116 S  37.0   2.4   0:54.22 java
   6970 root      20   0 9218556 387620  29116 S  38.0   2.4   0:54.60 java
   6970 root      20   0 9218556 387620  29116 S  38.0   2.4   0:54.98 java
   6970 root      20   0 9218556 387620  29116 S  37.6   2.4   0:55.36 java
   6970 root      20   0 9218556 387620  29116 S  37.0   2.4   0:55.73 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   0:56.10 java
   6970 root      20   0 9218556 387832  29116 S  36.0   2.4   0:56.46 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   0:56.83 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   0:57.20 java
   6970 root      20   0 9218556 387832  29116 S  36.0   2.4   0:57.56 java
   6970 root      20   0 9218556 387832  29116 S  38.0   2.4   0:57.94 java
   6970 root      20   0 9218556 387832  29116 S  37.6   2.4   0:58.32 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   0:58.69 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   0:59.06 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   0:59.43 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   0:59.80 java
   6970 root      20   0 9218556 387832  29116 S  38.0   2.4   1:00.18 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   1:00.55 java
   6970 root      20   0 9218556 387832  29116 S  37.6   2.4   1:00.93 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   1:01.30 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   1:01.67 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   1:02.04 java
   6970 root      20   0 9218556 387832  29116 S  38.0   2.4   1:02.42 java
   6970 root      20   0 9218556 387832  29116 S  37.0   2.4   1:02.
