   8154 root      20   0   13.6g 481320  29008 S 246.7   3.0   5:51.42 java
   8154 root      20   0   13.6g 481844  29008 S 246.0   3.0   5:53.88 java
   8154 root      20   0   13.6g 481844  29008 S 245.0   3.0   5:56.33 java
   8154 root      20   0   13.6g 481844  29008 S 243.6   3.0   5:58.79 java
   8154 root      20   0   13.6g 481844  29008 S 246.0   3.0   6:01.25 java
   8154 root      20   0   13.6g 481980  29008 S 247.0   3.0   6:03.72 java
   8154 root      20   0   13.6g 481980  29008 S 245.0   3.0   6:06.17 java
   8154 root      20   0   13.6g 482312  29008 S 244.0   3.0   6:08.61 java
   8154 root      20   0   13.6g 482312  29008 S 245.0   3.0   6:11.06 java
   8154 root      20   0   13.6g 482312  29008 S 249.0   3.0   6:13.55 java
   8154 root      20   0   13.6g 482312  29008 S 242.0   3.0   6:15.97 java
   8154 root      20   0   13.6g 482496  29008 S 243.0   3.0   6:18.40 java
   8154 root      20   0   13.6g 482676  29008 S 244.0   3.0   6:20.84 java
   8154 root      20   0   13.6g 482676  29008 S 244.0   3.0   6:23.28 java
   8154 root      20   0   13.6g 482676  29008 S 242.6   3.0   6:25.73 java
   8154 root      20   0   13.6g 482676  29008 S 246.0   3.0   6:28.19 java
   8154 root      20   0   13.6g 482844  29008 S 244.0   3.0   6:30.63 java
   8154 root      20   0   13.6g 483160  29008 S 243.0   3.0   6:33.06 java
   8154 root      20   0   13.6g 483308  29008 S 245.0   3.0   6:35.51 java
   8154 root      20   0   13.6g 483444  29008 S 245.0   3.0   6:37.96 java
   8154 root      20   0   13.6g 483444  29008 S 242.0   3.0   6:40.38 java
   8154 root      20   0   13.6g 483444  29008 S 247.0   3.0   6:42.85 java
   8154 root      20   0   13.6g 483444  29008 S 244.0   3.0   6:45.29 java
   8154 root      20   0   13.6g 483444  29008 S 244.0   3.0   6:47.73 java
   8154 root      20   0   13.6g 483444  29008 S 245.5   3.0   6:50.21 java
   8154 root      20   0   13.6g 483592  29008 S 245.0   3.0   6:52.66 java
   8154 root      20   0   13.6g 483908  29008 S 244.0   3.0   6:55.10 java
   8154 root      20   0   13.6g 484048  29008 S 243.0   3.0   6:57.53 java
   8154 root      20   0   13.6g 484204  29008 S 244.0   3.0   6:59.97 java
   8154 root      20   0   13.6g 484204  29008 S 244.0   3.0   7:02.41 java
   8154 root      20   0   13.6g 484372  29008 S 249.0   3.0   7:04.90 java
   8154 root      20   0   13.6g 484372  29008 S 244.0   3.0   7:07.34 java
   8154 root      20   0   13.6g 484372  29008 S 245.0   3.0   7:09.79 java
   8154 root      20   0   13.6g 484372  29008 S 245.5   3.0   7:12.27 java
   8154 root      20   0   13.6g 484372  29008 S 246.0   3.0   7:14.73 java
   8154 root      20   0   13.6g 484592  29008 S 242.0   3.0   7:17.15 java
   8154 root      20   0   13.6g 484592  29008 S 250.0   3.0   7:19.65 java
   8154 root      20   0   13.6g 484592  29008 S 247.0   3.0   7:22.12 java
   8154 root      20   0   13.6g 484592  29008 S 247.0   3.0   7:24.59 java
   8154 root      20   0   13.6g 484592  29008 S 243.0   3.0   7:27.02 java
   8154 root      20   0   13.6g 484592  29008 S 243.0   3.0   7:29.45 java
   8154 root      20   0   13.6g 484592  29008 S 246.0   3.0   7:31.91 java
   8154 root      20   0   13.6g 484592  29008 S 244.0   3.0   7:34.35 java
   8154 root      20   0   13.6g 484988  29008 S 246.0   3.0   7:36.81 java
   8154 root      20   0   13.6g 484988  29008 S 242.6   3.0   7:39.26 java
   8154 root      20   0   13.6g 485172  29008 S 249.0   3.0   7:41.75 java
   8154 root      20   0   13.6g 485464  29008 S 246.0   3.0   7:44.21 java
   8154 root      20   0   13.6g 485636  29008 S 244.0   3.0   7:46.65 java
   8154 root      20   0   13.6g 485636  29008 S 244.0   3.0   7:49.09 java
   8154 root      20   0   13.6g 485636  29008 S 245.0   3.0   7:51.54 java
   8154 root      20   0   13.6g 485636  29008 S 245.0   3.0   7:53.99 java
   8154 root      20   0   13.6g 485636  29008 S 247.0   3.0   7:56.46 java
   8154 root      20   0   13.6g 485800  29008 S 244.0   3.0   7:58.90 java
   8154 root      20   0   13.6g 486132  29008 S 246.0   3.0   8:01.
