Running 1m test @ http://erik-pc.local:8080/fruits
  4 threads and 100 connections
  Thread calibration: mean lat.: 10.912ms, rate sampling interval: 55ms
  Thread calibration: mean lat.: 10.968ms, rate sampling interval: 56ms
  Thread calibration: mean lat.: 11.713ms, rate sampling interval: 56ms
  Thread calibration: mean lat.: 10.272ms, rate sampling interval: 53ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    12.64ms   11.84ms 117.95ms   78.21%
    Req/Sec     4.55k     1.62k    8.27k    57.28%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    8.90ms
 75.000%   22.27ms
 90.000%   29.82ms
 99.000%   40.70ms
 99.900%   61.92ms
 99.990%  100.42ms
 99.999%  114.88ms
100.000%  118.01ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.439     0.000000            1         1.00
       1.267     0.100000        89791         1.11
       1.642     0.200000       179514         1.25
       2.117     0.300000       269339         1.43
       3.451     0.400000       359025         1.67
       8.895     0.500000       448857         2.00
      11.711     0.550000       493757         2.22
      14.447     0.600000       538556         2.50
      17.135     0.650000       583429         2.86
      19.743     0.700000       628479         3.33
      22.271     0.750000       673264         4.00
      23.519     0.775000       695684         4.44
      24.735     0.800000       718030         5.00
      25.967     0.825000       740744         5.71
      27.199     0.850000       763109         6.67
      28.495     0.875000       785548         8.00
      29.135     0.887500       796644         8.89
      29.823     0.900000       807783        10.00
      30.591     0.912500       819035        11.43
      31.439     0.925000       830211        13.33
      32.335     0.937500       841408        16.00
      32.831     0.943750       847080        17.78
      33.407     0.950000       852845        20.00
      34.015     0.956250       858243        22.86
      34.751     0.962500       863980        26.67
      35.583     0.968750       869537        32.00
      36.063     0.971875       872266        35.56
      36.607     0.975000       875072        40.00
      37.215     0.978125       877877        45.71
      37.919     0.981250       880728        53.33
      38.719     0.984375       883570        64.00
      39.167     0.985938       884900        71.11
      39.711     0.987500       886305        80.00
      40.287     0.989062       887681        91.43
      41.023     0.990625       889143       106.67
      41.951     0.992188       890524       128.00
      42.463     0.992969       891195       142.22
      43.103     0.993750       891903       160.00
      43.871     0.994531       892598       182.86
      44.863     0.995313       893305       213.33
      46.047     0.996094       893993       256.00
      46.879     0.996484       894341       284.44
      47.903     0.996875       894694       320.00
      49.183     0.997266       895043       365.71
      51.231     0.997656       895394       426.67
      53.567     0.998047       895745       512.00
      55.167     0.998242       895921       568.89
      56.543     0.998437       896097       640.00
      58.047     0.998633       896274       731.43
      59.967     0.998828       896446       853.33
      62.175     0.999023       896620      1024.00
      63.487     0.999121       896711      1137.78
      65.023     0.999219       896795      1280.00
      67.135     0.999316       896883      1462.86
      69.503     0.999414       896973      1706.67
      72.703     0.999512       897059      2048.00
      74.111     0.999561       897102      2275.56
      76.287     0.999609       897147      2560.00
      77.951     0.999658       897190      2925.71
      80.447     0.999707       897234      3413.33
      83.903     0.999756       897278      4096.00
      86.143     0.999780       897299      4551.11
      89.151     0.999805       897321      5120.00
      90.879     0.999829       897343      5851.43
      93.631     0.999854       897365      6826.67
      96.575     0.999878       897387      8192.00
      99.647     0.999890       897398      9102.22
     100.799     0.999902       897409     10240.00
     103.039     0.999915       897420     11702.86
     105.343     0.999927       897431     13653.33
     107.327     0.999939       897442     16384.00
     107.903     0.999945       897447     18204.44
     108.927     0.999951       897453     20480.00
     110.207     0.999957       897458     23405.71
     110.847     0.999963       897464     27306.67
     111.807     0.999969       897469     32768.00
     111.999     0.999973       897472     36408.89
     112.447     0.999976       897475     40960.00
     112.639     0.999979       897477     46811.43
     113.407     0.999982       897480     54613.33
     113.855     0.999985       897483     65536.00
     113.983     0.999986       897484     72817.78
     114.623     0.999988       897486     81920.00
     114.879     0.999989       897487     93622.86
     115.199     0.999991       897488    109226.67
     115.327     0.999992       897490    131072.00
     115.327     0.999993       897490    145635.56
     116.671     0.999994       897491    163840.00
     116.799     0.999995       897492    187245.71
     116.799     0.999995       897492    218453.33
     116.863     0.999996       897493    262144.00
     116.863     0.999997       897493    291271.11
     116.927     0.999997       897494    327680.00
     116.927     0.999997       897494    374491.43
     116.927     0.999998       897494    436906.67
     117.503     0.999998       897495    524288.00
     117.503     0.999998       897495    582542.22
     117.503     0.999998       897495    655360.00
     117.503     0.999999       897495    748982.86
     117.503     0.999999       897495    873813.33
     118.015     0.999999       897496   1048576.00
     118.015     1.000000       897496          inf
#[Mean    =       12.636, StdDeviation   =       11.842]
#[Max     =      117.952, Total count    =       897496]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1074194 requests in 1.00m, 174.15MB read
Requests/sec:  17903.13
Transfer/sec:      2.90MB
