  18273 1001      20   0 1291692 316032  42904 S   0.0   1.9   5:48.23 application
  18273 1001      20   0 1291692 316296  42904 S 213.0   1.9   5:50.36 application
  18273 1001      20   0 1291692 316560  42904 S 304.0   1.9   5:53.40 application
  18273 1001      20   0 1291692 316560  42904 S 301.0   1.9   5:56.41 application
  18273 1001      20   0 1292716 316560  42904 S 300.0   1.9   5:59.41 application
  18273 1001      20   0 1292716 316560  42904 S 294.0   1.9   6:02.35 application
  18273 1001      20   0 1292716 316560  42904 S 302.0   1.9   6:05.40 application
  18273 1001      20   0 1292716 316824  42904 S 299.0   1.9   6:08.39 application
  18273 1001      20   0 1292716 316824  42904 S 299.0   1.9   6:11.38 application
  18273 1001      20   0 1292716 316824  42904 S 301.0   1.9   6:14.39 application
  18273 1001      20   0 1292716 316824  42904 S 301.0   1.9   6:17.40 application
  18273 1001      20   0 1292716 316824  42904 S 302.0   1.9   6:20.42 application
  18273 1001      20   0 1292716 316824  42904 S 299.0   1.9   6:23.41 application
  18273 1001      20   0 1292716 316824  42904 S 299.0   1.9   6:26.43 application
  18273 1001      20   0 1292716 316824  42904 S 298.0   1.9   6:29.41 application
  18273 1001      20   0 1292716 316824  42904 S 301.0   1.9   6:32.42 application
  18273 1001      20   0 1292716 316824  42904 S 303.0   1.9   6:35.45 application
  18273 1001      20   0 1292716 316824  42904 S 307.0   1.9   6:38.52 application
  18273 1001      20   0 1292716 316824  42904 S 301.0   1.9   6:41.53 application
  18273 1001      20   0 1292716 316824  42904 S 297.0   1.9   6:44.50 application
  18273 1001      20   0 1292716 316824  42904 S 302.0   1.9   6:47.52 application
  18273 1001      20   0 1292716 317088  42904 S 309.0   1.9   6:50.61 application
  18273 1001      20   0 1292716 317088  42904 S 302.0   1.9   6:53.63 application
  18273 1001      20   0 1292716 317088  42904 S 298.0   1.9   6:56.64 application
  18273 1001      20   0 1292716 317088  42904 S 300.0   1.9   6:59.64 application
  18273 1001      20   0 1292716 317088  42904 S 295.0   1.9   7:02.59 application
  18273 1001      20   0 1292716 317088  42904 S 294.0   1.9   7:05.53 application
  18273 1001      20   0 1292716 317088  42904 S 295.0   1.9   7:08.48 application
  18273 1001      20   0 1292716 317088  42904 S 295.0   1.9   7:11.43 application
  18273 1001      20   0 1292716 317088  42904 S 292.0   1.9   7:14.35 application
  18273 1001      20   0 1292716 317088  42904 S 292.0   1.9   7:17.27 application
  18273 1001      20   0 1292716 317088  42904 S 296.0   1.9   7:20.26 application
  18273 1001      20   0 1292716 317088  42904 S 290.0   1.9   7:23.16 application
  18273 1001      20   0 1292716 317088  42904 S 293.0   1.9   7:26.09 application
  18273 1001      20   0 1292716 317088  42904 S 300.0   1.9   7:29.09 application
  18273 1001      20   0 1292716 317088  42904 S 289.0   1.9   7:31.98 application
  18273 1001      20   0 1292716 317088  42904 S 294.0   1.9   7:34.92 application
  18273 1001      20   0 1292716 317088  42904 S 301.0   1.9   7:37.93 application
  18273 1001      20   0 1292716 317088  42904 S 300.0   1.9   7:40.93 application
  18273 1001      20   0 1292716 317088  42904 S 291.1   1.9   7:43.87 application
  18273 1001      20   0 1292716 317088  42904 S 296.0   1.9   7:46.83 application
  18273 1001      20   0 1292716 317088  42904 S 296.0   1.9   7:49.79 application
  18273 1001      20   0 1292716 317352  42904 S 295.0   1.9   7:52.74 application
  18273 1001      20   0 1293740 317352  42904 S 302.0   1.9   7:55.76 application
  18273 1001      20   0 1293740 317352  42904 S 301.0   1.9   7:58.77 application
  18273 1001      20   0 1293740 317616  42904 S 300.0   1.9   8:01.77 application
  18273 1001      20   0 1293740 317616  42904 S 301.0   1.9   8:04.78 application
  18273 1001      20   0 1293740 317616  42904 S 299.0   1.9   8:07.77 application
  18273 1001      20   0 1293740 317616  42904 S 295.0   1.9   8:10.75 application
  18273 1001      20   0 1293
