  18273 1001      20   0 1328556 353520  42904 S   0.0   2.2  43:24.56 application
  18273 1001      20   0 1329580 353784  42904 S 389.0   2.2  43:28.45 application
  18273 1001      20   0 1329580 354048  42904 S 400.0   2.2  43:32.45 application
  18273 1001      20   0 1329580 354048  42904 S 400.0   2.2  43:36.45 application
  18273 1001      20   0 1329580 354048  42904 S 399.0   2.2  43:40.44 application
  18273 1001      20   0 1329580 354048  42904 S 401.0   2.2  43:44.45 application
  18273 1001      20   0 1329580 354048  42904 S 396.0   2.2  43:48.45 application
  18273 1001      20   0 1329580 354312  42904 S 401.0   2.2  43:52.46 application
  18273 1001      20   0 1330604 354576  42904 S 401.0   2.2  43:56.47 application
  18273 1001      20   0 1330604 354576  42904 S 401.0   2.2  44:00.48 application
  18273 1001      20   0 1330604 354576  42904 S 401.0   2.2  44:04.49 application
  18273 1001      20   0 1330604 354576  42904 S 400.0   2.2  44:08.49 application
  18273 1001      20   0 1330604 354576  42904 S 402.0   2.2  44:12.51 application
  18273 1001      20   0 1330604 354840  42904 S 398.0   2.2  44:16.53 application
  18273 1001      20   0 1330604 354840  42904 S 401.0   2.2  44:20.54 application
  18273 1001      20   0 1330604 354840  42904 S 400.0   2.2  44:24.54 application
  18273 1001      20   0 1330604 355104  42904 S 402.0   2.2  44:28.56 application
  18273 1001      20   0 1330604 355368  42904 S 401.0   2.2  44:32.57 application
  18273 1001      20   0 1330604 355632  42904 S 403.0   2.2  44:36.60 application
  18273 1001      20   0 1330604 355632  42904 S 395.0   2.2  44:40.59 application
  18273 1001      20   0 1331628 355632  42904 S 402.0   2.2  44:44.61 application
  18273 1001      20   0 1331628 355632  42904 S 402.0   2.2  44:48.63 application
  18273 1001      20   0 1331628 355632  42904 S 400.0   2.2  44:52.63 application
  18273 1001      20   0 1331628 355632  42904 S 402.0   2.2  44:56.65 application
  18273 1001      20   0 1331628 355896  42904 S 402.0   2.2  45:00.67 application
  18273 1001      20   0 1331628 355896  42904 S 400.0   2.2  45:04.67 application
  18273 1001      20   0 1331628 355896  42904 S 397.0   2.2  45:08.68 application
  18273 1001      20   0 1331628 355896  42904 S 400.0   2.2  45:12.68 application
  18273 1001      20   0 1331628 356160  42904 S 401.0   2.2  45:16.69 application
  18273 1001      20   0 1331628 356424  42904 S 401.0   2.2  45:20.70 application
  18273 1001      20   0 1331628 356424  42904 S 401.0   2.2  45:24.71 application
  18273 1001      20   0 1331628 356688  42904 S 401.0   2.2  45:28.72 application
  18273 1001      20   0 1331628 356688  42904 S 402.0   2.2  45:32.74 application
  18273 1001      20   0 1332652 356688  42904 S 397.0   2.2  45:36.75 application
  18273 1001      20   0 1332652 356688  42904 S 399.0   2.2  45:40.74 application
  18273 1001      20   0 1332652 356952  42904 S 404.0   2.2  45:44.78 application
  18273 1001      20   0 1332652 356952  42904 S 398.0   2.2  45:48.76 application
  18273 1001      20   0 1332652 356952  42904 S 404.0   2.2  45:52.80 application
  18273 1001      20   0 1332652 356952  42904 S 400.0   2.2  45:56.80 application
  18273 1001      20   0 1332652 356952  42904 S 398.0   2.2  46:00.82 application
  18273 1001      20   0 1332652 356952  42904 S 398.0   2.2  46:04.80 application
  18273 1001      20   0 1332652 356952  42904 S 402.0   2.2  46:08.82 application
  18273 1001      20   0 1332652 357216  42904 S 402.0   2.2  46:12.84 application
  18273 1001      20   0 1332652 357216  42904 S 400.0   2.2  46:16.84 application
  18273 1001      20   0 1332652 357216  42904 S 400.0   2.2  46:20.84 application
  18273 1001      20   0 1333676 357216  42904 S 401.0   2.2  46:24.85 application
  18273 1001      20   0 1333676 357216  42904 S 399.0   2.2  46:28.84 application
  18273 1001      20   0 1333676 357216  42904 S 397.0   2.2  46:32.85 application
  18273 1001      20   0 1333676 357744  42904 S 399.0   2.2  46:36.84 application
  18273 1001      20   0 1333
