  18949 1001      20   0 7299936 568620  47228 S   0.0   3.5  41:15.86 application
  18949 1001      20   0 7299936 569676  47228 S 381.2   3.5  41:19.71 application
  18949 1001      20   0 7300960 570204  47228 S 401.0   3.5  41:23.72 application
  18949 1001      20   0 7301984 570996  47228 S 399.0   3.5  41:27.71 application
  18949 1001      20   0 7301984 571260  47228 S 401.0   3.5  41:31.72 application
  18949 1001      20   0 7303008 571524  47228 S 400.0   3.5  41:35.72 application
  18949 1001      20   0 7303008 572052  47228 S 400.0   3.5  41:39.72 application
  18949 1001      20   0 7303008 572316  47228 S 400.0   3.5  41:43.72 application
  18949 1001      20   0 7304032 572580  47228 S 396.0   3.5  41:47.72 application
  18949 1001      20   0 7304032 572844  47228 S 401.0   3.5  41:51.73 application
  18949 1001      20   0 7305056 573632  47228 S 400.0   3.5  41:55.73 application
  18949 1001      20   0 7305056 573632  47228 S 401.0   3.5  41:59.74 application
  18949 1001      20   0 7306080 573896  47228 S 401.0   3.5  42:03.75 application
  18949 1001      20   0 7306080 574424  47228 S 402.0   3.5  42:07.77 application
  18949 1001      20   0 7306080 575476  47228 S 401.0   3.5  42:11.78 application
  18949 1001      20   0 7314272 576140  47228 S 397.0   3.5  42:15.75 application
  18949 1001      20   0 7305056 575160  48312 S 403.0   3.5  42:19.78 application
  18949 1001      20   0 7305056 576216  48312 S 403.0   3.5  42:23.81 application
  18949 1001      20   0 7305056 576480  48312 S 396.0   3.5  42:27.81 application
  18949 1001      20   0 7305056 576480  48312 S 402.0   3.5  42:31.83 application
  18949 1001      20   0 7305056 576480  48312 S 402.0   3.5  42:35.85 application
  18949 1001      20   0 7305056 576480  48312 S 401.0   3.5  42:39.86 application
  18949 1001      20   0 7378788 576480  48312 S 402.0   3.5  42:43.88 application
  18949 1001      20   0 7378788 576480  48312 S 401.0   3.5  42:47.89 application
  18949 1001      20   0 7378788 576480  48312 S 401.0   3.5  42:51.90 application
  18949 1001      20   0 7378788 576480  48312 S 400.0   3.5  42:55.90 application
  18949 1001      20   0 7378788 576480  48312 S 402.0   3.5  42:59.92 application
  18949 1001      20   0 7378788 576480  48312 S 394.0   3.5  43:03.86 application
  18949 1001      20   0 7378788 576480  48312 S 404.0   3.5  43:07.90 application
  18949 1001      20   0 7378788 576480  48312 S 401.0   3.5  43:11.95 application
  18949 1001      20   0 7378788 576480  48312 S 400.0   3.5  43:15.95 application
  18949 1001      20   0 7378788 576480  48312 S 399.0   3.5  43:19.94 application
  18949 1001      20   0 7378788 576480  48312 S 401.0   3.5  43:23.95 application
  18949 1001      20   0 7378788 576480  48312 S 404.0   3.5  43:27.99 application
  18949 1001      20   0 7378788 576480  48312 S 396.0   3.5  43:31.95 application
  18949 1001      20   0 7378788 576480  48312 S 409.0   3.5  43:36.04 application
  18949 1001      20   0 7378788 576480  48312 S 399.0   3.5  43:40.03 application
  18949 1001      20   0 7378788 576480  48312 S 398.0   3.5  43:44.01 application
  18949 1001      20   0 7378788 576480  48312 S 398.0   3.5  43:47.99 application
  18949 1001      20   0 7378788 576480  48312 S 405.0   3.5  43:52.08 application
  18949 1001      20   0 7378788 576480  48312 S 397.0   3.5  43:56.05 application
  18949 1001      20   0 7378788 576480  48312 S 403.0   3.5  44:00.08 application
  18949 1001      20   0 7378788 576480  48312 S 396.0   3.5  44:04.04 application
  18949 1001      20   0 7378788 576480  48312 S 400.0   3.5  44:08.04 application
  18949 1001      20   0 7378788 576480  48312 S 401.0   3.5  44:12.05 application
  18949 1001      20   0 7378788 576480  48312 S 406.0   3.5  44:16.11 application
  18949 1001      20   0 7378788 576480  48312 S 400.0   3.5  44:20.11 application
  18949 1001      20   0 7378788 576480  48312 S 401.0   3.5  44:24.12 application
  18949 1001      20   0 7378788 576480  48312 S 395.0   3.5  44:28.11 application
  18949 1001      20   0 7378
