  34416 root      20   0 9226748 482404  29132 S 113.3   3.0   3:52.73 java
  34416 root      20   0 9226748 482552  29132 S 146.0   3.0   3:54.19 java
  34416 root      20   0 9226748 482552  29132 S 180.2   3.0   3:56.01 java
  34416 root      20   0 9226748 482552  29132 S 182.0   3.0   3:57.83 java
  34416 root      20   0 9226748 482552  29132 S 182.0   3.0   3:59.65 java
  34416 root      20   0 9226748 482552  29132 S 182.0   3.0   4:01.47 java
  34416 root      20   0 9226748 482688  29132 S 183.0   3.0   4:03.30 java
  34416 root      20   0 9226748 482688  29132 S 180.0   3.0   4:05.10 java
  34416 root      20   0 9226748 482688  29132 S 182.0   3.0   4:06.92 java
  34416 root      20   0 9226748 482688  29132 S 182.0   3.0   4:08.74 java
  34416 root      20   0 9226748 482688  29132 S 182.0   3.0   4:10.56 java
  34416 root      20   0 9226748 482688  29132 S 181.0   3.0   4:12.37 java
  34416 root      20   0 9226748 482840  29132 S 178.2   3.0   4:14.17 java
  34416 root      20   0 9226748 482996  29132 S 181.0   3.0   4:15.98 java
  34416 root      20   0 9226748 482996  29132 S 183.0   3.0   4:17.81 java
  34416 root      20   0 9226748 482996  29132 S 181.0   3.0   4:19.62 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:21.44 java
  34416 root      20   0 9226748 482996  29132 S 183.0   3.0   4:23.27 java
  34416 root      20   0 9226748 482996  29132 S 181.0   3.0   4:25.08 java
  34416 root      20   0 9226748 482996  29132 S 183.0   3.0   4:26.91 java
  34416 root      20   0 9226748 482996  29132 S 180.0   3.0   4:28.71 java
  34416 root      20   0 9226748 482996  29132 S 181.2   3.0   4:30.54 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:32.36 java
  34416 root      20   0 9226748 482996  29132 S 181.0   3.0   4:34.17 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:35.99 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:37.81 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:39.63 java
  34416 root      20   0 9226748 482996  29132 S 181.0   3.0   4:41.44 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:43.26 java
  34416 root      20   0 9226748 482996  29132 S 183.0   3.0   4:45.09 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:46.91 java
  34416 root      20   0 9226748 482996  29132 S 183.0   3.0   4:48.74 java
  34416 root      20   0 9226748 482996  29132 S 179.2   3.0   4:50.55 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:52.37 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:54.19 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   4:56.01 java
  34416 root      20   0 9226748 482996  29132 S 181.0   3.0   4:57.82 java
  34416 root      20   0 9226748 482996  29132 S 183.0   3.0   4:59.65 java
  34416 root      20   0 9226748 482996  29132 S 181.0   3.0   5:01.46 java
  34416 root      20   0 9226748 482996  29132 S 183.0   3.0   5:03.29 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   5:05.11 java
  34416 root      20   0 9226748 482996  29132 S 182.0   3.0   5:06.93 java
  34416 root      20   0 9226748 482996  29132 S 181.2   3.0   5:08.76 java
  34416 root      20   0 9226748 483160  29132 S 182.0   3.0   5:10.58 java
  34416 root      20   0 9226748 483160  29132 S 183.0   3.0   5:12.41 java
  34416 root      20   0 9226748 483160  29132 S 182.0   3.0   5:14.23 java
  34416 root      20   0 9226748 483160  29132 S 181.0   3.0   5:16.04 java
  34416 root      20   0 9226748 483160  29132 S 181.0   3.0   5:17.85 java
  34416 root      20   0 9226748 483160  29132 S 181.0   3.0   5:19.66 java
  34416 root      20   0 9226748 483160  29132 S 183.0   3.0   5:21.49 java
  34416 root      20   0 9226748 483160  29132 S 182.0   3.0   5:23.31 java
  34416 root      20   0 9226748 483160  29132 S 180.2   3.0   5:25.13 java
  34416 root      20   0 9226748 483160  29132 S 181.0   3.0   5:26.94 java
  34416 root      20   0 9226748 483160  29132 S 182.0   3.0   5:28.
