  68374 1001      20   0 1504684 533060  46936 S   0.0   3.3  24:13.28 application
  68374 1001      20   0 1507756 535964  46936 S 403.0   3.3  24:17.31 application
  68374 1001      20   0 1511852 539924  46936 S 400.0   3.3  24:21.31 application
  68374 1001      20   0 1513900 542564  46936 S 401.0   3.3  24:25.32 application
  68374 1001      20   0 1516972 545468  46936 S 400.0   3.3  24:29.32 application
  68374 1001      20   0 1519020 547844  46936 S 399.0   3.4  24:33.31 application
  68374 1001      20   0 1521068 549692  46936 S 400.0   3.4  24:37.31 application
  68374 1001      20   0 1521068 550220  46936 S 401.0   3.4  24:41.32 application
  68374 1001      20   0 1522092 551012  46936 S 399.0   3.4  24:45.31 application
  68374 1001      20   0 1523116 551804  46936 S 401.0   3.4  24:49.32 application
  68374 1001      20   0 1524140 552860  46936 S 396.0   3.4  24:53.32 application
  68374 1001      20   0 1525164 553916  46936 S 400.0   3.4  24:57.32 application
  68374 1001      20   0 1526188 554972  46936 S 399.0   3.4  25:01.31 application
  68374 1001      20   0 1528236 556556  46936 S 400.0   3.4  25:05.31 application
  68374 1001      20   0 1529260 558140  46936 S 401.0   3.4  25:09.32 application
  68374 1001      20   0 1531308 559724  46936 S 400.0   3.4  25:13.32 application
  68374 1001      20   0 1533356 562364  46936 S 400.0   3.4  25:17.32 application
  68374 1001      20   0 1535404 564212  46936 S 400.0   3.5  25:21.32 application
  68374 1001      20   0 1538476 566852  46936 S 400.0   3.5  25:25.32 application
  68374 1001      20   0 1541548 570284  46936 S 396.0   3.5  25:29.32 application
  68374 1001      20   0 1544620 572924  46936 S 399.0   3.5  25:33.31 application
  68374 1001      20   0 1545644 575208  46936 S 401.0   3.5  25:37.32 application
  68374 1001      20   0 1544620 575068  48028 S 399.0   3.5  25:41.31 application
  68374 1001      20   0 1544620 575068  48028 S 400.0   3.5  25:45.31 application
  68374 1001      20   0 1544620 575068  48028 S 401.0   3.5  25:49.32 application
  68374 1001      20   0 1544620 575068  48028 S 400.0   3.5  25:53.32 application
  68374 1001      20   0 1544620 575068  48028 S 399.0   3.5  25:57.31 application
  68374 1001      20   0 1544620 575068  48028 S 397.0   3.5  26:01.32 application
  68374 1001      20   0 1544620 575068  48028 S 402.0   3.5  26:05.34 application
  68374 1001      20   0 1544620 575068  48028 S 400.0   3.5  26:09.34 application
  68374 1001      20   0 1544620 575068  48028 S 401.0   3.5  26:13.35 application
  68374 1001      20   0 1544620 575068  48028 S 401.0   3.5  26:17.36 application
  68374 1001      20   0 1544620 575068  48028 S 400.0   3.5  26:21.36 application
  68374 1001      20   0 1544620 575068  48028 S 400.0   3.5  26:25.36 application
  68374 1001      20   0 1544620 575068  48028 S 402.0   3.5  26:29.38 application
  68374 1001      20   0 1544620 575068  48028 S 400.0   3.5  26:33.38 application
  68374 1001      20   0 1544620 575068  48028 S 396.0   3.5  26:37.38 application
  68374 1001      20   0 1544620 575068  48028 S 401.0   3.5  26:41.39 application
  68374 1001      20   0 1544620 575068  48028 S 399.0   3.5  26:45.38 application
  68374 1001      20   0 1544620 575068  48028 S 403.0   3.5  26:49.41 application
  68374 1001      20   0 1544620 575068  48028 S 401.0   3.5  26:53.42 application
  68374 1001      20   0 1544620 575068  48028 S 401.0   3.5  26:57.43 application
  68374 1001      20   0 1544620 575068  48028 S 400.0   3.5  27:01.43 application
  68374 1001      20   0 1544620 575068  48028 S 400.0   3.5  27:05.43 application
  68374 1001      20   0 1544620 575068  48028 S 401.0   3.5  27:09.44 application
  68374 1001      20   0 1544620 575068  48028 S 401.0   3.5  27:13.45 application
  68374 1001      20   0 1544620 575068  48028 S 400.0   3.5  27:17.45 application
  68374 1001      20   0 1544620 575068  48028 S 397.0   3.5  27:21.46 application
  68374 1001      20   0 1544620 575068  48028 S 401.0   3.5  27:25.47 application
  68374 1001      20   0 1544
