  63130 1001      20   0 1287596 311484  42300 S  33.3   1.9   0:55.67 application
  63130 1001      20   0 1288620 312072  42364 S  94.1   1.9   0:56.62 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   0:57.56 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   0:58.51 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   0:59.46 application
  63130 1001      20   0 1288620 312072  42364 S  96.0   1.9   1:00.42 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:01.37 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:02.32 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:03.27 application
  63130 1001      20   0 1288620 312072  42364 S  93.1   1.9   1:04.21 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:05.16 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   1:06.10 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:07.05 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   1:07.99 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:08.94 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   1:09.88 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:10.84 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:11.79 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   1:12.73 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:13.68 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:14.63 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   1:15.57 application
  63130 1001      20   0 1288620 312072  42364 S  96.0   1.9   1:16.53 application
  63130 1001      20   0 1288620 312072  42364 S  96.0   1.9   1:17.49 application
  63130 1001      20   0 1288620 312072  42364 S  94.1   1.9   1:18.44 application
  63130 1001      20   0 1288620 312072  42364 S  96.0   1.9   1:19.40 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:20.35 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:21.30 application
  63130 1001      20   0 1288620 312072  42364 S  96.0   1.9   1:22.26 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:23.21 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:24.16 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:25.12 application
  63130 1001      20   0 1288620 312072  42364 S  92.0   1.9   1:26.04 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   1:26.98 application
  63130 1001      20   0 1288620 312072  42364 S  93.0   1.9   1:27.91 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   1:28.85 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:29.80 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   1:30.74 application
  63130 1001      20   0 1288620 312072  42364 S  96.0   1.9   1:31.70 application
  63130 1001      20   0 1288620 312072  42364 S  94.1   1.9   1:32.65 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:33.60 application
  63130 1001      20   0 1288620 312072  42364 S  96.0   1.9   1:34.56 application
  63130 1001      20   0 1288620 312072  42364 S  96.0   1.9   1:35.52 application
  63130 1001      20   0 1288620 312072  42364 S  96.0   1.9   1:36.48 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:37.43 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:38.38 application
  63130 1001      20   0 1288620 312072  42364 S  93.1   1.9   1:39.32 application
  63130 1001      20   0 1288620 312072  42364 S  95.0   1.9   1:40.27 application
  63130 1001      20   0 1288620 312072  42364 S  94.0   1.9   1:41.21 application
  63130 1001      20   0 1288
