  63130 1001      20   0 1293740 317176  42748 S  86.7   1.9   8:35.33 application
  63130 1001      20   0 1293740 317704  42748 S 237.0   1.9   8:37.70 application
  63130 1001      20   0 1293740 317968  42748 S 298.0   1.9   8:40.68 application
  63130 1001      20   0 1293740 317968  42748 S 296.0   1.9   8:43.64 application
  63130 1001      20   0 1293740 317968  42748 S 290.0   1.9   8:46.54 application
  63130 1001      20   0 1293740 317968  42748 S 286.1   1.9   8:49.43 application
  63130 1001      20   0 1293740 317968  42748 S 287.0   1.9   8:52.30 application
  63130 1001      20   0 1293740 317968  42748 S 299.0   1.9   8:55.29 application
  63130 1001      20   0 1293740 317968  42748 S 294.0   1.9   8:58.23 application
  63130 1001      20   0 1293740 317968  42748 S 295.0   1.9   9:01.18 application
  63130 1001      20   0 1293740 318232  42748 S 299.0   2.0   9:04.17 application
  63130 1001      20   0 1294764 318232  42748 S 299.0   2.0   9:07.16 application
  63130 1001      20   0 1294764 318232  42748 S 298.0   2.0   9:10.17 application
  63130 1001      20   0 1294764 318556  42812 S 294.0   2.0   9:13.11 application
  63130 1001      20   0 1294764 318556  42812 S 295.0   2.0   9:16.06 application
  63130 1001      20   0 1294764 318556  42812 S 298.0   2.0   9:19.04 application
  63130 1001      20   0 1294764 318556  42812 S 298.0   2.0   9:22.02 application
  63130 1001      20   0 1294764 318556  42812 S 299.0   2.0   9:25.01 application
  63130 1001      20   0 1294764 318556  42812 S 298.0   2.0   9:27.99 application
  63130 1001      20   0 1294764 318820  42812 S 296.0   2.0   9:30.95 application
  63130 1001      20   0 1294764 318820  42812 S 302.0   2.0   9:33.97 application
  63130 1001      20   0 1294764 318820  42812 S 293.1   2.0   9:36.93 application
  63130 1001      20   0 1294764 318820  42812 S 294.0   2.0   9:39.87 application
  63130 1001      20   0 1294764 318820  42812 S 293.0   2.0   9:42.80 application
  63130 1001      20   0 1294764 318820  42812 S 294.0   2.0   9:45.74 application
  63130 1001      20   0 1294764 318820  42812 S 297.0   2.0   9:48.71 application
  63130 1001      20   0 1294764 318820  42812 S 300.0   2.0   9:51.71 application
  63130 1001      20   0 1294764 318820  42812 S 296.0   2.0   9:54.67 application
  63130 1001      20   0 1294764 318820  42812 S 293.1   2.0   9:57.63 application
  63130 1001      20   0 1294764 319084  42812 S 297.0   2.0  10:00.60 application
  63130 1001      20   0 1294764 319084  42812 S 290.0   2.0  10:03.50 application
  63130 1001      20   0 1294764 319084  42812 S 300.0   2.0  10:06.50 application
  63130 1001      20   0 1294764 319084  42812 S 299.0   2.0  10:09.49 application
  63130 1001      20   0 1294764 319084  42812 S 298.0   2.0  10:12.47 application
  63130 1001      20   0 1294764 319084  42812 S 298.0   2.0  10:15.45 application
  63130 1001      20   0 1294764 319084  42812 S 293.0   2.0  10:18.38 application
  63130 1001      20   0 1294764 319084  42812 S 290.1   2.0  10:21.31 application
  63130 1001      20   0 1294764 319084  42812 S 296.0   2.0  10:24.27 application
  63130 1001      20   0 1294764 319084  42812 S 296.0   2.0  10:27.23 application
  63130 1001      20   0 1294764 319084  42812 S 294.0   2.0  10:30.17 application
  63130 1001      20   0 1294764 319084  42812 S 295.0   2.0  10:33.12 application
  63130 1001      20   0 1294764 319084  42812 S 293.0   2.0  10:36.05 application
  63130 1001      20   0 1294764 319348  42812 S 296.0   2.0  10:39.01 application
  63130 1001      20   0 1294764 319348  42812 S 298.0   2.0  10:41.99 application
  63130 1001      20   0 1294764 319612  42812 S 299.0   2.0  10:44.98 application
  63130 1001      20   0 1294764 319612  42812 S 295.0   2.0  10:47.96 application
  63130 1001      20   0 1294764 319612  42812 S 307.0   2.0  10:51.03 application
  63130 1001      20   0 1294764 319612  42812 S 301.0   2.0  10:54.04 application
  63130 1001      20   0 1295788 319612  42812 S 299.0   2.0  10:57.03 application
  63130 1001      20   0 1295
